source,target,value
ECI-2291859537,ACC-05255658,7
ECI-6837355855,ACC-75325253,9
ECI-4628548133,ACC-53694434,1
ECI-4628548133,ACC-91416253,8
ECI-2291859537,ACC-72149851,3
ECI-4628548133,ACC-41672557,6
ECI-6837355855,ACC-48422738,1
ACC-05255658,pos-C8XFDG8N,5
ACC-75325253,pos-TWUBJUST,5
ACC-53694434,pos-9QJLECQC,5
ACC-91416253,pos-WRAXI336,5
ACC-72149851,pos-Z0Z4KDP8,8
ACC-41672557,pos-UA7PWQ7V,8
ACC-48422738,pos-3OL3EXPL,3
pos-C8XFDG8N,Fac-3776989324,2
pos-TWUBJUST,Fac-9715892546,4
pos-9QJLECQC,Fac-9715892546,7
pos-WRAXI336,Fac-9715892546,9
pos-Z0Z4KDP8,Fac-3776989324,3
pos-UA7PWQ7V,Fac-9715892546,7
pos-3OL3EXPL,Fac-3776989324,7
Fac-3776989324,obg-06EP1T5U,1
Fac-9715892546,obg-0QTFEQ61,2
Fac-9715892546,obg-ZQCYZ8AP,4
Fac-3776989324,obg-8AQXU7DW,3
Fac-9715892546,obg-IS7FJFQ2,4
Fac-3776989324,obg-6YDPI0RH,1
