source,target,value
ECI-7736191432,ACC-27497454,4
ECI-6351317477,ACC-83368792,5
ECI-0116272241,ACC-17268498,7
ECI-7362422624,ACC-56182631,7
ECI-2157239692,ACC-56973219,2
ECI-7736191432,ACC-94186489,7
ECI-6351317477,ACC-73167438,10
ECI-0116272241,ACC-23165438,7
ACC-27497454,pos-65RP0HKL,6
ACC-83368792,pos-I1JMSDR5,10
ACC-17268498,pos-MCTKHBPX,2
ACC-56182631,pos-CJV6ZK7W,5
ACC-56973219,pos-RM7VV3C2,1
ACC-94186489,pos-CJV6ZK7W,10
ACC-73167438,pos-CJV6ZK7W,5
ACC-23165438,pos-RM7VV3C2,5
pos-65RP0HKL,Fac-7441757647,8
pos-I1JMSDR5,Fac-1737446239,9
pos-MCTKHBPX,Fac-5914953232,4
pos-CJV6ZK7W,Fac-4277416542,1
pos-RM7VV3C2,Fac-7441757647,3
Fac-7441757647,obg-EH3RVQQT,2
Fac-1737446239,obg-EH3RVQQT,4
Fac-5914953232,obg-EH3RVQQT,1
Fac-4277416542,obg-EH3RVQQT,7
