source,target,value
ACC-09931317,pos-26QHZN8F,7
ACC-21689367,pos-VNRVN8SP,3
ACC-22697621,pos-NFAK5CTP,7
ACC-39146494,pos-GI774AN6,7
ACC-54385834,pos-GI774AN6,7
ACC-59358635,pos-8RMOA1DR,4
ACC-61652623,pos-VNRVN8SP,9
ACC-72141417,pos-BZA0M0X5,9
ACC-83676726,pos-ZK8QMOWJ,6
ACC-88591277,pos-26QHZN8F,6
ECI-0323788898,ACC-22697621,8
ECI-0323788898,ACC-39146494,9
ECI-1851468426,ACC-59358635,4
ECI-1851468426,ACC-21689367,10
ECI-2649636417,ACC-83676726,7
ECI-5256327287,ACC-72141417,3
ECI-5256327287,ACC-61652623,2
ECI-5256327287,ACC-88591277,9
ECI-8167933386,ACC-09931317,7
ECI-8167933386,ACC-54385834,3
Fac-1875443246,obg-FY8TDAX1,8
Fac-1875443246,obg-N26AK68H,2
Fac-1875443246,obg-5J1HS5Z6,3
Fac-1875443246,obg-IHIOUMN9,5
Fac-1875443246,obg-5XU6RTLP,6
Fac-1991173838,obg-REO7V7FT,1
Fac-1991173838,obg-AJS01J8M,7
Fac-1991173838,obg-S6G3E6UB,2
Fac-8256963834,obg-ZOQQD66Q,8
Fac-8256963834,obg-SQJDEJWP,8
pos-26QHZN8F,Fac-1991173838,9
pos-8RMOA1DR,Fac-1875443246,6
pos-BZA0M0X5,Fac-8256963834,2
pos-GI774AN6,Fac-1991173838,1
pos-NFAK5CTP,Fac-1991173838,7
pos-VNRVN8SP,Fac-1991173838,1
pos-ZK8QMOWJ,Fac-1875443246,6
