source,target,value
ECI-0255265487,ACC-44981556,7
ECI-0255265487,ACC-88149747,7
ECI-0255265487,ACC-54212214,9
ACC-44981556,pos-QL7Z6865,9
ACC-88149747,pos-7JZJJ5P1,6
ACC-54212214,pos-PRQHE2YV,6
ACC-54212214,pos-Y7NJLP6Z,2
ACC-54212214,pos-QQ9F2BN8,1
ACC-44981556,pos-5YWUCMLM,8
ACC-44981556,pos-B7VQMRXH,6
ACC-44981556,pos-724ZK8AB,2
ACC-54212214,pos-AAX4EJT5,4
ACC-54212214,pos-333RA6KF,4
pos-QL7Z6865,Fac-1775885417,3
pos-7JZJJ5P1,Fac-3475231779,2
pos-PRQHE2YV,Fac-1669797774,6
pos-Y7NJLP6Z,Fac-1775885417,10
pos-QQ9F2BN8,Fac-1775885417,8
pos-5YWUCMLM,Fac-1775885417,6
pos-B7VQMRXH,Fac-1669797774,5
pos-724ZK8AB,Fac-3475231779,5
pos-AAX4EJT5,Fac-1669797774,9
pos-333RA6KF,Fac-1775885417,5
Fac-1775885417,obg-QV4CY8CI,7
Fac-3475231779,obg-RAZZX2ZP,8
Fac-1669797774,obg-5CUH8OKN,5
Fac-1669797774,obg-W25PY8TZ,1
Fac-1775885417,obg-D9CWQ61K,1
Fac-1775885417,obg-VSYLPB0S,2
Fac-1775885417,obg-58KOAO79,8
Fac-1669797774,obg-0GPTJEA5,10
