source,target,value
ECI-0771771721,ACC-87577423,7
ECI-0771771721,ACC-73137889,4
ECI-0771771721,ACC-92423479,1
ECI-0771771721,ACC-03646564,8
ECI-0771771721,ACC-82781254,3
ECI-0771771721,ACC-71461591,10
ECI-0771771721,ACC-88911541,1
ECI-0771771721,ACC-56337666,6
ECI-0771771721,ACC-78643886,4
ACC-87577423,pos-MUPGCTDZ,2
ACC-73137889,pos-SLLJS1DR,9
ACC-92423479,pos-CNQ9KJU8,4
ACC-03646564,pos-T3U4J46S,1
ACC-82781254,pos-6UI8MCDM,5
ACC-71461591,pos-QY3N9G6Q,8
ACC-88911541,pos-0HH7EJFW,5
ACC-56337666,pos-IJ79EQJX,5
ACC-78643886,pos-MUPGCTDZ,4
pos-MUPGCTDZ,Fac-3117567778,2
pos-SLLJS1DR,Fac-3117567778,8
pos-CNQ9KJU8,Fac-3117567778,9
pos-T3U4J46S,Fac-3117567778,1
pos-6UI8MCDM,Fac-3117567778,7
pos-QY3N9G6Q,Fac-3117567778,3
pos-0HH7EJFW,Fac-3117567778,6
pos-IJ79EQJX,Fac-3117567778,7
Fac-3117567778,obg-I5YKJG9M,2
Fac-3117567778,obg-7YXVS9GC,10
Fac-3117567778,obg-HR6BOFKP,5
Fac-3117567778,obg-9I748UVF,7
Fac-3117567778,obg-V7Z9CM44,6
Fac-3117567778,obg-DA2CKOFA,10
