source,target,value
ECI-3626536674,ACC-92958255,2
ECI-6949777718,ACC-92958255,1
ECI-8721228697,ACC-92958255,10
ECI-4869723135,ACC-92958255,2
ECI-8438438526,ACC-92958255,9
ACC-92958255,pos-LDVCBSIE,8
ACC-92958255,pos-7Q9ORMSM,2
ACC-92958255,pos-XHW4NW9L,3
ACC-92958255,pos-QW69SHLP,2
pos-LDVCBSIE,Fac-9827712252,4
pos-7Q9ORMSM,Fac-9827712252,4
pos-XHW4NW9L,Fac-9827712252,8
pos-QW69SHLP,Fac-9827712252,6
Fac-9827712252,obg-1514489D,3
Fac-9827712252,obg-K9ECB3IH,8
Fac-9827712252,obg-WRYYDHQ4,4
Fac-9827712252,obg-MSU4CTQ7,2
Fac-9827712252,obg-5ORCORLV,4
Fac-9827712252,obg-5Y6KLLHB,9
Fac-9827712252,obg-3TLEBSBZ,7
Fac-9827712252,obg-KMSBQ3WP,7
Fac-9827712252,obg-RPT937SU,10
