source,target,value
ECI-7374726786,ACC-77258969,5
ECI-5212332568,ACC-21391471,4
ECI-9416251441,ACC-61436732,8
ECI-1235375853,ACC-48167295,9
ECI-3332318767,ACC-37855668,1
ECI-3332318767,ACC-24157827,2
ECI-1235375853,ACC-57479665,5
ECI-9416251441,ACC-05391858,3
ECI-3332318767,ACC-04996291,2
ECI-7374726786,ACC-92714214,2
ACC-77258969,pos-TH6YBOGQ,9
ACC-21391471,pos-11SDRXY4,1
ACC-61436732,pos-7SPQGE4I,9
ACC-48167295,pos-I9YTGH7G,8
ACC-37855668,pos-99K1SK2L,1
ACC-24157827,pos-7W2K6VRM,2
ACC-57479665,pos-I9YTGH7G,7
ACC-05391858,pos-I9YTGH7G,6
ACC-04996291,pos-7W2K6VRM,4
ACC-92714214,pos-11SDRXY4,1
pos-TH6YBOGQ,Fac-7997728663,2
pos-11SDRXY4,Fac-8674535561,9
pos-7SPQGE4I,Fac-0538589999,9
pos-I9YTGH7G,Fac-8674535561,4
pos-99K1SK2L,Fac-8674535561,9
pos-7W2K6VRM,Fac-8674535561,1
Fac-7997728663,obg-ZJPBITFY,7
Fac-8674535561,obg-FT8TANDE,1
Fac-0538589999,obg-05POHM2E,4
Fac-7997728663,obg-YD484SHE,2
Fac-7997728663,obg-R1F9VRYT,10
