source,target,value
ECI-5643715989,ACC-31212514,7
ECI-3193165545,ACC-13397549,1
ECI-3193165545,ACC-88448663,8
ECI-5643715989,ACC-12167259,6
ECI-3193165545,ACC-95594958,7
ECI-3193165545,ACC-37189353,1
ECI-5643715989,ACC-24563785,5
ACC-31212514,pos-HO4KK8RB,6
ACC-13397549,pos-22Q15FXM,4
ACC-88448663,pos-FE14RR2U,4
ACC-12167259,pos-DRT54AZZ,2
ACC-95594958,pos-DRT54AZZ,8
ACC-37189353,pos-DRT54AZZ,1
ACC-24563785,pos-FE14RR2U,1
pos-HO4KK8RB,Fac-1367547261,2
pos-22Q15FXM,Fac-7895663355,10
pos-FE14RR2U,Fac-4828263757,3
pos-DRT54AZZ,Fac-3652713957,2
Fac-1367547261,obg-RZM797OE,1
Fac-7895663355,obg-2TJ6FDZ1,5
Fac-4828263757,obg-P2FMJKVC,6
Fac-3652713957,obg-72742QIJ,5
Fac-4828263757,obg-DKNDTHWQ,3
Fac-4828263757,obg-FP1WPQI3,9
Fac-7895663355,obg-L2E19YZZ,7
Fac-3652713957,obg-32Z89QD5,8
Fac-3652713957,obg-KBQSH00C,2
Fac-4828263757,obg-FAGN7CKM,1
