source,target,value
ECI-4517775773,ACC-18161369,4
ECI-5467547816,ACC-88597163,4
ECI-9432781133,ACC-15317197,8
ECI-3443378868,ACC-83253434,8
ECI-2921775647,ACC-68265798,7
ECI-2921775647,ACC-43945956,3
ECI-3443378868,ACC-21145357,8
ACC-18161369,pos-MRE6JJLO,4
ACC-88597163,pos-7UIAVXK2,4
ACC-15317197,pos-7UIAVXK2,8
ACC-83253434,pos-7UIAVXK2,10
ACC-68265798,pos-MRE6JJLO,7
ACC-43945956,pos-7UIAVXK2,3
ACC-21145357,pos-MRE6JJLO,8
pos-MRE6JJLO,Fac-9581149366,5
pos-7UIAVXK2,Fac-2214972948,8
Fac-9581149366,obg-2JWDMN2Q,3
Fac-2214972948,obg-X8FHS7DD,2
Fac-2214972948,obg-S6CT8QQW,3
Fac-2214972948,obg-L64XR3LM,2
Fac-2214972948,obg-ONLFZR4W,4
Fac-9581149366,obg-IJEU1BNJ,4
Fac-9581149366,obg-5VIUXPE5,8
