source,target,value
ECI-2241786671,ACC-91929954,1
ECI-7689239218,ACC-06687234,9
ECI-8487586973,ACC-62187339,8
ECI-7689239218,ACC-96288167,2
ECI-2241786671,ACC-21619365,1
ECI-8487586973,ACC-54919322,7
ACC-91929954,pos-8BJA7XUD,7
ACC-06687234,pos-HQKDBA0Y,4
ACC-62187339,pos-USFXA6LK,9
ACC-96288167,pos-GMF05FSF,5
ACC-21619365,pos-E0ZWBPOE,9
ACC-54919322,pos-RSQCN1GP,8
ACC-21619365,pos-Q2J9E3ZW,1
ACC-91929954,pos-X6NZCB1Y,4
ACC-96288167,pos-VC8B4OLA,9
pos-8BJA7XUD,Fac-1763848445,8
pos-HQKDBA0Y,Fac-8665251281,3
pos-USFXA6LK,Fac-5255628839,8
pos-GMF05FSF,Fac-4331866857,2
pos-E0ZWBPOE,Fac-4645784942,9
pos-RSQCN1GP,Fac-4331866857,9
pos-Q2J9E3ZW,Fac-8665251281,5
pos-X6NZCB1Y,Fac-1763848445,7
pos-VC8B4OLA,Fac-8665251281,6
Fac-1763848445,obg-RQBOZRT3,9
Fac-8665251281,obg-R6CO8AUI,1
Fac-5255628839,obg-L6U8J93M,1
Fac-4331866857,obg-TA29TDGP,5
Fac-4645784942,obg-XC1J5J1T,5
Fac-4331866857,obg-4G2232YA,4
