source,target,value
ECI-4365172644,ACC-13519449,2
ECI-9496722389,ACC-86848538,6
ECI-9496722389,ACC-47988593,5
ECI-9496722389,ACC-73228575,8
ECI-4365172644,ACC-58696772,3
ECI-9496722389,ACC-63381885,7
ECI-4365172644,ACC-34443361,9
ECI-9496722389,ACC-37967587,8
ECI-9496722389,ACC-69241874,3
ECI-9496722389,ACC-89966361,4
ACC-13519449,pos-BW0PE7UI,8
ACC-86848538,pos-9IJ2DKW9,9
ACC-47988593,pos-ADKBPRQD,1
ACC-73228575,pos-5UW83AC5,2
ACC-58696772,pos-B9WO2337,1
ACC-63381885,pos-873WJ3H6,4
ACC-34443361,pos-EQHLKKT7,6
ACC-37967587,pos-DAFN8NTC,8
ACC-69241874,pos-BW0PE7UI,3
ACC-89966361,pos-ADKBPRQD,3
pos-BW0PE7UI,Fac-9828214979,7
pos-9IJ2DKW9,Fac-9828214979,3
pos-ADKBPRQD,Fac-9828214979,1
pos-5UW83AC5,Fac-9828214979,4
pos-B9WO2337,Fac-9828214979,3
pos-873WJ3H6,Fac-9828214979,9
pos-EQHLKKT7,Fac-9828214979,8
pos-DAFN8NTC,Fac-9828214979,2
Fac-9828214979,obg-UX0D37PB,1
Fac-9828214979,obg-DYA0QOV8,8
Fac-9828214979,obg-LULJJ0VA,1
