source,target,value
ECI-2988323228,ACC-79584186,7
ECI-2988323228,ACC-94783168,10
ECI-2988323228,ACC-29936554,4
ECI-2988323228,ACC-47948542,2
ACC-79584186,pos-VSU4TB3Q,10
ACC-94783168,pos-LYQV6M76,1
ACC-29936554,pos-RE4YLFNK,9
ACC-47948542,pos-1R8ELPXN,6
ACC-47948542,pos-57KC0RV3,7
ACC-29936554,pos-F4C8NTO4,10
ACC-79584186,pos-KEHWZYZO,2
ACC-29936554,pos-CEKBLIT6,9
pos-VSU4TB3Q,Fac-3236528673,3
pos-LYQV6M76,Fac-1711463574,6
pos-RE4YLFNK,Fac-9122856263,3
pos-1R8ELPXN,Fac-3236528673,2
pos-57KC0RV3,Fac-3236528673,3
pos-F4C8NTO4,Fac-1711463574,9
pos-KEHWZYZO,Fac-3236528673,7
pos-CEKBLIT6,Fac-1711463574,4
Fac-3236528673,obg-G4YNDTTY,7
Fac-1711463574,obg-DC36GWYU,3
Fac-9122856263,obg-0ROO98UB,10
Fac-3236528673,obg-12SR6N58,4
