source,target,value
ECI-9293232846,ACC-57989797,3
ECI-5173269831,ACC-78287737,8
ECI-1989569667,ACC-96498266,6
ECI-9927266311,ACC-96491642,5
ECI-4769121838,ACC-51728976,2
ECI-9927266311,ACC-41668789,2
ECI-5173269831,ACC-44239485,5
ECI-9927266311,ACC-26396291,10
ECI-9293232846,ACC-75569915,9
ECI-5173269831,ACC-85159283,3
ACC-57989797,pos-A4RZ0120,1
ACC-78287737,pos-3PUD6YOU,8
ACC-96498266,pos-Z33Y4XGQ,4
ACC-96491642,pos-2GMR8CXN,2
ACC-51728976,pos-30CVMO12,6
ACC-41668789,pos-GIXDEHGD,7
ACC-44239485,pos-JTI4ZKFN,1
ACC-26396291,pos-30CVMO12,10
ACC-75569915,pos-30CVMO12,3
ACC-85159283,pos-Z33Y4XGQ,8
pos-A4RZ0120,Fac-1654799334,7
pos-3PUD6YOU,Fac-5988475577,5
pos-Z33Y4XGQ,Fac-7355252787,1
pos-2GMR8CXN,Fac-6832719137,9
pos-30CVMO12,Fac-5988475577,6
pos-GIXDEHGD,Fac-7355252787,5
pos-JTI4ZKFN,Fac-5988475577,9
Fac-1654799334,obg-H885KPNM,10
Fac-5988475577,obg-H885KPNM,9
Fac-7355252787,obg-H885KPNM,1
Fac-6832719137,obg-H885KPNM,2
