source,target,value
ECI-3765928791,ACC-68546757,7
ECI-5173163748,ACC-25388838,7
ECI-0143424248,ACC-41323268,7
ECI-1851626519,ACC-48825165,5
ECI-8797423636,ACC-93246415,2
ECI-0143424248,ACC-41795929,1
ECI-3765928791,ACC-99313343,8
ECI-1851626519,ACC-98592385,5
ECI-0143424248,ACC-33662195,2
ECI-0143424248,ACC-01214248,9
ACC-68546757,pos-9U2BLR48,10
ACC-25388838,pos-ZYMM6IXZ,7
ACC-41323268,pos-VWTRS8XI,3
ACC-48825165,pos-RT9U0ZXC,9
ACC-93246415,pos-BZ1OE1DR,8
ACC-41795929,pos-6N49TJHR,10
ACC-99313343,pos-EDY4UFTI,8
ACC-98592385,pos-EDY4UFTI,8
ACC-33662195,pos-6N49TJHR,4
ACC-01214248,pos-EDY4UFTI,7
pos-9U2BLR48,Fac-8924792695,6
pos-ZYMM6IXZ,Fac-1223453251,10
pos-VWTRS8XI,Fac-0323699868,2
pos-RT9U0ZXC,Fac-1223453251,10
pos-BZ1OE1DR,Fac-0323699868,3
pos-6N49TJHR,Fac-8924792695,2
pos-EDY4UFTI,Fac-0323699868,10
Fac-8924792695,obg-6QGROELG,4
Fac-1223453251,obg-XSQ8ICUX,8
Fac-0323699868,obg-KMARQQRM,4
Fac-1223453251,obg-5PZUZFPU,6
Fac-1223453251,obg-NRADS40D,2
Fac-8924792695,obg-EQF0TMM7,6
Fac-0323699868,obg-VE9T0C97,7
Fac-8924792695,obg-7DG8G0KX,10
Fac-8924792695,obg-YJMB3GSZ,6
Fac-1223453251,obg-NV4O79R4,1
